POSTE;DATE;RR;TN;TX;FXY;DXY;GLOT;NEIG;BROU;ORAG
31069001;19710425;0;4,8;14,9;;;;0;0;0
31069001;19710426;2,6;3,8;19,9;;;;0;0;0
31069001;19710427;0,2;9,9;19,4;;;;0;0;0
31069001;19710428;0;10,3;20,2;;;;0;0;0
31069001;19710429;2,6;9,5;17,1;;;;0;0;0
31069001;19710430;2,2;10,9;18;;;;0;0;0
31069001;19710501;1,7;9,9;14,9;;;;0;0;0
31069001;19710502;4,3;8;16,3;;;;0;0;1
31069001;19710503;0;8,8;17,2;;;;0;0;0
31069001;19710504;0;3,9;20,1;;;;0;0;0
31069001;19710505;0;9,8;20,4;;;;0;0;0
31069001;19710506;0;12,7;22,1;;;;0;0;0
31069001;19710507;0,3;13;19,3;;;;0;0;0
31069001;19710508;0;11,6;22,2;;;;0;0;0
31069001;19710509;0;10;21,9;;;;0;1;0
31069001;19710510;0;12,7;22,9;;;;0;0;1
31069001;19710511;0;13,2;22,3;;;;0;0;0
31069001;19710512;0;14,8;23;;;;0;0;0
31069001;19710513;35;14,2;22,9;;;;0;0;1
31069001;19710514;0;14,6;21,8;;;;0;0;0
31069001;19710515;0;13,5;23;;;;0;0;0
31069001;19710516;2,2;14,3;21,7;;;;0;0;0
31069001;19710517;4,1;14,4;21,4;;;;0;0;1
31069001;19710518;0;12,5;18,9;;;;0;0;0
31069001;19710519;0,3;14,3;23,4;;;;0;0;0
31069001;19710520;4,4;13,7;19,1;;;;0;0;0
31069001;19710521;0,6;9,5;21,3;;;;0;0;0
31069001;19710522;7;11,3;21,9;;;;0;0;1
31069001;19710523;2,9;10,9;15,1;;;;0;0;0
31069001;19710524;12,2;7,4;16,4;;;;0;0;0
31069001;19710525;10,5;8;18,3;;;;0;0;0
31069001;19710526;16;8,8;13,3;;;;0;0;1
31069001;19710527;9,9;8,4;15;;;;0;0;0
31069001;19710528;2,2;8,7;15,9;;;;0;0;0
31069001;19710529;0,3;6;15,3;;;;0;0;0
31069001;19710530;0;11,2;19,8;;;;0;0;0
31069001;19710531;0,1;11,6;19,2;;;;0;0;0
31069001;19710601;0;9,8;21,8;;;;0;0;0
31069001;19710602;0;10,4;26,1;;;;0;0;0
31069001;19710603;0;14;24,3;;;;0;0;0
31069001;19710604;0,2;10,9;25,4;;;;0;0;0
31069001;19710605;21,7;13,4;22;;;;0;0;1
31069001;19710606;3,1;13,8;16,6;;;;0;0;0
31069001;19710607;0;13,4;18,4;;;;0;0;0
31069001;19710608;3,4;13,4;20,7;;;;0;0;1
31069001;19710609;5,3;11;19,4;;;;0;1;1
31069001;19710610;7,6;9,7;19,7;;;;0;0;0
31069001;19710611;0,8;6,9;17,3;;;;0;0;0
31069001;19710612;0;10,6;19,6;;;;0;0;0
31069001;19710613;5,9;8,7;25,4;;;;0;0;0
31069001;19710614;5,5;13,5;19,4;;;;0;0;1
31069001;19710615;4,2;6,8;18,5;;;;0;0;0
31069001;19710616;0;8,7;18,3;;;;0;0;0
31069001;19710617;0;10,6;20,3;;;;0;0;0
31069001;19710618;0;9,7;19,1;;;;0;0;0
31069001;19710619;0;7,8;23,7;;;;0;0;0
31069001;19710620;0;12,2;25;;;;0;0;0
31069001;19710621;0;13,9;23,6;;;;0;0;0
31069001;19710622;0;11;27,8;;;;0;0;0
31069001;19710623;5,4;15,7;28,7;;;;0;0;0
31069001;19710624;0;15,6;20,8;;;;0;0;1
31069001;19710625;21,4;15,8;20,2;;;;0;0;0
31069001;19710626;0,5;13,1;24,3;;;;0;0;0
31069001;19710627;0;14;23;;;;0;0;0
31069001;19710628;0;12;23,7;;;;0;0;0
31069001;19710629;0;14;23,7;;;;0;0;0
31069001;19710630;0;12,6;22,8;;;;0;0;0
31069001;19710701;0;15;25;;;;0;0;0
31069001;19710702;0;11,5;28,1;;;;0;0;0
31069001;19710703;0;14,8;25,2;;;;0;0;0
31069001;19710704;10,2;15,8;20,3;;;;0;0;0
31069001;19710705;0,9;15,1;21,4;;;;0;0;0
31069001;19710706;0;16,2;26,6;;;;0;0;0
31069001;19710707;0;14,9;30,1;;;;0;1;0
31069001;19710708;0;13,9;32,7;;;;0;0;0
31069001;19710709;0;14,8;33;;;;0;0;0
31069001;19710710;0;16,9;33,9;;;;0;0;0
31069001;19710711;0;17,2;33,3;;;;0;0;0
31069001;19710712;0;16;33;;;;0;0;0
31069001;19710713;2,8;16,8;32,4;;;;0;0;0
31069001;19710714;0;15,1;31,9;;;;0;0;0
31069001;19710715;0;15,6;31,9;;;;0;0;0
31069001;19710716;0;16,6;31,6;;;;0;0;0
31069001;19710717;17,3;16,8;31,9;;;;0;0;1
31069001;19710718;6,3;16,9;26,9;;;;0;0;1
31069001;19710719;12,8;15,4;24,1;;;;0;0;1
31069001;19710720;0;14,8;24,9;;;;0;0;0
31069001;19710721;0,1;10,9;27;;;;0;0;0
31069001;19710722;0,1;13,5;27,2;;;;0;0;0
31069001;19710723;19,9;16,3;24,1;;;;0;0;1
31069001;19710724;0;15,5;28,8;;;;0;0;0
31069001;19710725;0;18,7;28,8;;;;0;0;0
31069001;19710726;0;20,5;28;;;;0;0;0
31069001;19710727;3,2;19;24,4;;;;0;0;1
31069001;19710728;0;17,4;25,7;;;;0;0;0
31069001;19710729;0;12,5;29;;;;0;0;0
31069001;19710730;0,5;14,5;36,1;;;;0;0;0
31069001;19710731;0;17,9;25,1;;;;0;0;0
31069001;19710801;0;13,5;28,3;;;;0;0;0
31069001;19710802;0;14,8;31,1;;;;0;0;0
31069001;19710803;0;19,5;29,9;;;;0;0;0
31069001;19710804;0;15,1;27,2;;;;0;0;0
31069001;19710805;0;14,5;27;;;;0;0;0
31069001;19710806;18,6;14,5;26,8;;;;0;0;1
31069001;19710807;0;15;23;;;;0;0;1
31069001;19710808;0;15;24,6;;;;0;0;0
31069001;19710809;0;12,8;27,7;;;;0;0;0
31069001;19710810;0,3;15;28,2;;;;0;0;1
31069001;19710811;0,4;17,5;23;;;;0;0;1
31069001;19710812;0;17,1;27;;;;0;0;0
31069001;19710813;1,3;17,1;29,2;;;;0;0;1
31069001;19710814;0,1;18,2;29,9;;;;0;0;1
31069001;19710815;0;19;28,2;;;;0;0;1
31069001;19710816;0;14,8;32,2;;;;0;0;0
31069001;19710817;0,7;16,7;34,5;;;;0;0;1
31069001;19710818;0,8;19,4;31;;;;0;0;1
31069001;19710819;0;20,1;28;;;;0;0;0
31069001;19710820;0,9;13,4;22,6;;;;0;0;0
31069001;19710821;0,1;12,2;25;;;;0;0;0
31069001;19710822;0;15,4;22,6;;;;0;0;0
31069001;19710823;0;10,1;26,4;;;;0;1;0
31069001;19710824;0;12,9;31,3;;;;0;0;0
31069001;19710825;0,3;19,6;28,8;;;;0;0;1
31069001;19710826;0;19,9;27,4;;;;0;0;0
31069001;19710827;0;15,2;26,1;;;;0;0;0
31069001;19710828;0;15,8;25,2;;;;0;0;0
31069001;19710829;4,8;11;30,9;;;;0;0;0
31069001;19710830;0,2;16,3;19,9;;;;0;0;0
31069001;19710831;0;12,6;22,4;;;;0;0;0
31069001;19710901;0;14;22,7;;;;0;0;0
31069001;19710902;0;9,9;26,3;;;;0;0;0
31069001;19710903;0;9,6;29,8;;;;0;0;0
31069001;19710904;0;9,7;30,8;;;;0;0;0
31069001;19710905;0;11;30,4;;;;0;0;0
31069001;19710906;0;11,6;31,4;;;;0;0;0
31069001;19710907;0;12,5;30,4;;;;0;0;0
31069001;19710908;0;18,5;29,6;;;;0;0;0
31069001;19710909;11,1;16;27,3;;;;0;0;1
31069001;19710910;0;13,6;24,2;;;;0;1;0
31069001;19710911;1;12,4;23,8;;;;0;0;0
31069001;19710912;8,2;15,6;23,4;;;;0;0;0
31069001;19710913;0;14,6;22,3;;;;0;0;0
31069001;19710914;0;8,2;23,4;;;;0;0;0
31069001;19710915;0;9,9;23;;;;0;0;0
31069001;19710916;0;7;21,1;;;;0;0;0
31069001;19710917;0;4;22;;;;0;0;0
31069001;19710918;0,2;4,6;23,7;;;;0;0;0
31069001;19710919;6,8;12,4;18,2;;;;0;0;0
31069001;19710920;24,7;13,6;18,2;;;;0;0;1
31069001;19710921;0;14,4;24,1;;;;0;0;0
31069001;19710922;0,5;17,7;22,1;;;;0;0;0
31069001;19710923;0;14;23,7;;;;0;0;0
31069001;19710924;0;15,4;21,3;;;;0;0;0
31069001;19710925;0;10,6;23,2;;;;0;0;0
31069001;19710926;0;9,7;24,1;;;;0;0;0
31069001;19710927;0;13,4;21,3;;;;0;0;0
31069001;19710928;0;11,1;21,3;;;;0;0;0
31069001;19710929;0;14,3;21,2;;;;0;0;0
31069001;19710930;0;7,2;22;;;;0;0;0
31069001;19711001;0;5,9;25,8;;;;0;0;0
31069001;19711002;0;6,8;28,1;;;;0;0;0
31069001;19711003;0;8,6;22,1;;;;0;1;0
31069001;19711004;0,8;12,1;21,7;;;;0;0;0
31069001;19711005;0;10,8;19,6;;;;0;0;0
31069001;19711006;0;9,2;19;;;;0;1;0
31069001;19711007;0;13,5;21,9;;;;0;0;0
31069001;19711008;0;6,1;21,9;;;;0;1;0
31069001;19711009;0;9,6;23,9;;;;0;0;1
31069001;19711010;0;13,5;20,7;;;;0;0;0
31069001;19711011;0;7,8;23;;;;0;1;0
31069001;19711012;5;15,9;23,8;;;;0;0;0
31069001;19711013;3,7;16;23;;;;0;0;0
31069001;19711014;0,1;14,4;20,6;;;;0;0;0
31069001;19711015;0;9,6;15,9;;;;0;0;0
31069001;19711016;0;2,9;16,9;;;;0;1;0
31069001;19711017;5,4;3,5;16,8;;;;0;0;0
31069001;19711018;0;12,5;20,8;;;;0;0;0
31069001;19711019;0;4,6;21,6;;;;0;1;0
31069001;19711020;0;11,5;20,4;;;;0;0;0
31069001;19711021;0;10,9;21,1;;;;0;0;0
31069001;19711022;0;3,9;23;;;;0;1;0
31069001;19711023;0;4,4;24;;;;0;0;0
